"Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Do.Not.Call","Converted","TotalVisits","Time.on.Web","Page.Views.Per.Visit","Last.Activity","Country","Specialization","Hear.About","Occupation","Tags","Lead.Quality","Lead.Profile","City","Asymmetrique.Activity.Index","Asymmetrique.Profile.Index","Asymmetrique.Activity.Score","Asymmetrique.Profile.Score","Last.Notable.Activity","Lead.Score","Lead.Type"
660522,"Landing Page Submission","Google","No","No",1,6,1688,3,"Page Visited on Website","India","Marketing Management","Multiple Sources","Unemployed","Interested in other courses","Might be","Select","Mumbai","02.Medium","01.High",15,18,"Page Visited on Website",13,0
660509,"API","Organic Search","No","No",0,3,98,3,"Page Visited on Website","India","Select","Select","Unemployed","Interested in other courses","Worst","Select","Select","02.Medium","02.Medium",14,15,"Modified",0,0
660479,"Landing Page Submission","Google","No","No",0,1,233,1,"Unreachable","India","Media and Advertising","Online Search","Unemployed","Interested in other courses","Not Sure","Select","Mumbai","02.Medium","01.High",13,17,"Modified",0,0
660478,"API","Google","No","No",0,4,377,1.33,"Page Visited on Website","India","Select","Select","Unemployed","In confusion whether part time or DLP","Worst","Potential Lead","Select","02.Medium","02.Medium",15,16,"Modified",14,0
660471,"Landing Page Submission","Google","No","No",1,1,1013,1,"Converted to Lead","India","Banking, Investment And Insurance","Advertisements","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,20,"Modified",66,1
660461,"Landing Page Submission","Google","No","No",0,4,771,4,"Email Link Clicked","India","Finance Management","Student of SomeSchool","Unemployed","Ringing","Not Sure","Select","Mumbai","02.Medium","01.High",14,18,"Email Link Clicked",0,0
660458,"API","Google","No","No",1,6,1137,1.5,"Email Opened","India","Marketing Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",14,18,"Email Opened",73,1
660447,"Landing Page Submission","Google","No","No",1,3,1068,3,"Form Submitted on Website","India","Travel and Tourism","Other","Unemployed","Busy","Not Sure","Select","Mumbai","02.Medium","02.Medium",14,16,"Modified",28,0
660432,"Landing Page Submission","Organic Search","No","No",1,4,1000,2,"Email Opened","India","Finance Management","Select","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Other Cities","03.Low","01.High",11,18,"Email Opened",74,1
660424,"Landing Page Submission","Google","No","No",1,6,1315,6,"Email Opened","India","Media and Advertising","Online Search","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,19,"Email Opened",73,1
660423,"Landing Page Submission","Direct Traffic","No","No",0,5,182,5,"Email Opened","India","Select","Select","Student","switched off","Might be","Select","Mumbai","02.Medium","01.High",13,18,"Email Opened",5,0
660410,"API","Google","No","No",1,3,78,3,"Unreachable","India","International Business","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","01.High","01.High",16,18,"Unreachable",84,1
660402,"Landing Page Submission","Direct Traffic","No","No",1,7,1174,3.5,"Email Opened","India","Human Resource Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",15,18,"Email Opened",60,1
660374,"API","Google","No","No",0,3,88,1.5,"Email Opened","India","Select","Select","Unemployed","Interested in other courses","Not Sure","Select","Select","02.Medium","02.Medium",13,15,"Modified",0,0
660361,"API","Referral Sites","No","No",0,4,223,2,"Page Visited on Website","India","Select","Select","Unemployed","Interested in other courses","Low in Relevance","Select","Select","02.Medium","02.Medium",15,13,"Modified",14,0
660339,"API","Organic Search","No","No",0,3,74,1.5,"Email Opened","India","IT Projects Management","Select","Unemployed","Interested  in full time MBA","Might be","Select","Other Metro Cities","03.Low","02.Medium",12,15,"Modified",7,0
660333,"Landing Page Submission","Organic Search","No","No",1,4,16,2,"Page Visited on Website","India","E-COMMERCE","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Mumbai","02.Medium","01.High",15,17,"Modified",59,1
660321,"API","Referral Sites","No","No",1,3,98,3,"Email Opened","India","Human Resource Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Thane & Outskirts","02.Medium","02.Medium",14,15,"Modified",65,1
660312,"Landing Page Submission","Google","No","No",0,4,1622,4,"Unreachable","India","Operations Management","Word Of Mouth","Unemployed","Ringing","Might be","Select","Mumbai","03.Low","01.High",12,18,"Modified",0,0
660267,"Landing Page Submission","Google","No","No",1,5,563,5,"Email Opened","India","Finance Management","Student of SomeSchool","Working Professional","Will revert after reading the email","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",13,20,"Email Opened",84,1
660255,"API","Google","No","No",0,2,310,2,"Email Link Clicked","India","Select","Select","Unemployed","Ringing","Not Sure","Select","Select","02.Medium","02.Medium",14,15,"Email Link Clicked",0,0
660236,"Landing Page Submission","Google","No","No",1,4,25,4,"Email Opened","India","Operations Management","Email","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Other Cities of Maharashtra","02.Medium","01.High",14,19,"Email Opened",73,1
660235,"API","Direct Traffic","No","No",0,3,342,3,"Email Opened","India","Select","Select","Unemployed","Busy","Not Sure","Select","Select","02.Medium","02.Medium",14,15,"Email Opened",36,0
660222,"Landing Page Submission","Organic Search","Yes","No",0,7,38,7,"Unsubscribed","India","Retail Management","Word Of Mouth","Unemployed","Busy","Not Sure","Other Leads","Mumbai","02.Medium","01.High",13,18,"Unsubscribed",38,0
660215,"API","Google","No","No",0,5,199,5,"Email Opened","India","Select","Select","Unemployed","Ringing","Might be","Select","Select","02.Medium","02.Medium",14,15,"Email Opened",8,0
660203,"Landing Page Submission","Google","No","No",0,5,222,5,"Email Opened","India","Finance Management","Online Search","Working Professional","Busy","Not Sure","Potential Lead","Mumbai","02.Medium","01.High",13,18,"Email Opened",54,1
660194,"Landing Page Submission","Direct Traffic","No","No",0,6,275,3,"Email Opened","India","Operations Management","Select","Unemployed","in touch with EINS","Not Sure","Select","Mumbai","03.Low","01.High",10,18,"Email Opened",18,0
660180,"Landing Page Submission","Google","No","No",0,4,287,2,"Email Opened","India","Marketing Management","Other","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","01.High",13,18,"Email Opened",8,0
660174,"Landing Page Submission","Direct Traffic","No","No",0,2,547,2,"Email Opened","India","Finance Management","Select","Unemployed","Already a student","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,20,"Email Opened",34,0
660149,"API","Google","No","No",0,6,1225,6,"Page Visited on Website","India","Supply Chain Management","Select","Unemployed","Diploma holder (Not Eligible)","Worst","Other Leads","Thane & Outskirts","03.Low","02.Medium",12,15,"Modified",4,0
660070,"Landing Page Submission","Google","No","No",0,5,160,5,"Email Opened","India","Business Administration","Online Search","Unemployed","Already a student","Might be","Select","Mumbai","01.High","01.High",17,18,"Email Opened",21,0
660069,"Landing Page Submission","Organic Search","No","No",0,6,394,2,"Unreachable","India","E-COMMERCE","Select","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","02.Medium",13,15,"Modified",0,0
660050,"API","Google","No","No",0,6,286,1.5,"Olark Chat Conversation","India","Operations Management","Select","Unemployed","Will revert after reading the email","Not Sure","Potential Lead","Select","01.High","02.Medium",16,15,"Modified",51,1
660048,"API","Organic Search","No","No",0,7,96,2.33,"Email Opened","India","Human Resource Management","Select","Unemployed","Will revert after reading the email","Low in Relevance","Select","Mumbai","02.Medium","02.Medium",13,15,"Email Opened",66,1
660030,"API","Organic Search","No","No",0,2,12,2,"Email Opened","India","Select","Select","Unemployed","switched off","Worst","Select","Select","02.Medium","02.Medium",15,15,"Email Opened",0,0
659998,"Landing Page Submission","Referral Sites","No","No",1,13,436,13,"Form Submitted on Website","India","IT Projects Management","Online Search","Unemployed","Busy","Low in Relevance","Potential Lead","Other Metro Cities","02.Medium","02.Medium",15,13,"Modified",51,1
659963,"API","Referral Sites","No","No",1,8,903,8,"Page Visited on Website","India","Finance Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Other Cities of Maharashtra","01.High","02.Medium",16,15,"Page Visited on Website",71,1
659942,"Landing Page Submission","Organic Search","No","No",0,17,409,8.5,"Email Opened","India","Human Resource Management","Select","Unemployed","Interested in other courses","Might be","Select","Mumbai","02.Medium","01.High",14,18,"Modified",7,0
659937,"Landing Page Submission","Referral Sites","No","No",0,11,685,5.5,"Email Opened","India","Services Excellence","Select","Unemployed","Graduation in progress","Not Sure","Select","Thane & Outskirts","03.Low","02.Medium",11,13,"Email Opened",9,0
659931,"API","Google","No","No",0,4,213,4,"Form Submitted on Website","India","International Business","Multiple Sources","Unemployed","Interested in other courses","Not Sure","Other Leads","Mumbai","02.Medium","02.Medium",13,16,"Modified",4,0
659918,"API","Organic Search","No","No",1,7,1468,3.5,"Page Visited on Website","India","Marketing Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,18,"Modified",65,1
659889,"Landing Page Submission","Direct Traffic","No","No",1,4,1435,4,"Email Opened","India","Operations Management","Select","Working Professional","Will revert after reading the email","Might be","Potential Lead","Other Cities","03.Low","01.High",12,18,"Email Opened",78,1
659875,"Landing Page Submission","Google","No","No",1,1,157,1,"Converted to Lead","India","Hospitality Management","Word Of Mouth","Unemployed","Will revert after reading the email","Might be","Select","Other Cities of Maharashtra","02.Medium","02.Medium",15,14,"Modified",51,1
659853,"API","Google","No","No",1,3,885,1.5,"Had a Phone Conversation","India","Operations Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,18,"Had a Phone Conversation",100,1
659819,"Landing Page Submission","Direct Traffic","No","No",0,1,1710,1,"Converted to Lead","India","Retail Management","Select","Unemployed","Already a student","Worst","Potential Lead","Thane & Outskirts","01.High","01.High",16,19,"Modified",10,0
659820,"Landing Page Submission","Direct Traffic","No","No",0,4,219,4,"Email Opened","India","Business Administration","Word Of Mouth","Unemployed","Ringing","High in Relevance","Select","Mumbai","02.Medium","01.High",13,18,"Email Opened",13,0
659806,"Landing Page Submission","Referral Sites","Yes","No",0,3,111,3,"Email Bounced","India","International Business","Select","Unemployed","Ringing","Not Sure","Select","Other Metro Cities","02.Medium","02.Medium",13,15,"Modified",0,0
659784,"API","Organic Search","No","No",0,6,224,6,"Page Visited on Website","India","Select","Select","Unemployed","switched off","Not Sure","Select","Select","02.Medium","02.Medium",14,15,"Modified",0,0
659782,"Landing Page Submission","Direct Traffic","No","No",0,5,224,1.67,"Page Visited on Website","India","Operations Management","Select","Unemployed","Busy","Not Sure","Select","Other Cities of Maharashtra","02.Medium","01.High",13,17,"Page Visited on Website",33,0
659779,"Landing Page Submission","Direct Traffic","No","No",1,2,1071,2,"Email Opened","India","Marketing Management","Select","Unemployed","Lost to EINS","Not Sure","Select","Other Cities of Maharashtra","03.Low","01.High",12,17,"Email Opened",69,1
659727,"Landing Page Submission","Google","No","No",1,6,595,3,"Email Opened","India","Banking, Investment And Insurance","Word Of Mouth","Working Professional","Will revert after reading the email","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",14,20,"Email Opened",84,1
659720,"API","Referral Sites","No","No",0,4,520,4,"Email Opened","India","Operations Management","Student of SomeSchool","Unemployed","in touch with EINS","Not Sure","Select","Mumbai","03.Low","02.Medium",10,15,"Email Opened",18,0
659708,"API","Google","No","No",0,2,393,2,"Email Opened","India","Select","Select","Unemployed","Ringing","Not Sure","Other Leads","Select","02.Medium","02.Medium",14,14,"Email Opened",4,0
659696,"Landing Page Submission","Google","No","No",1,3,1136,3,"Page Visited on Website","India","IT Projects Management","Other","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","01.High","02.Medium",16,15,"Modified",51,1
659685,"API","Referral Sites","No","No",0,3,335,3,"Email Opened","India","Select","Select","Unemployed","Ringing","High in Relevance","Select","Select","02.Medium","02.Medium",14,13,"Modified",5,0
659676,"API","Referral Sites","No","No",0,4,75,4,"Email Opened","India","Select","Select","Unemployed","Ringing","Not Sure","Select","Select","02.Medium","02.Medium",14,13,"Email Opened",0,0
659630,"Landing Page Submission","Organic Search","No","No",0,2,1085,2,"Converted to Lead","India","Rural and Agribusiness","Select","Unemployed","Interested in other courses","Not Sure","Select","Other Cities of Maharashtra","02.Medium","02.Medium",13,14,"Modified",0,0
659614,"API","Organic Search","No","No",0,3,214,3,"Page Visited on Website","India","Select","Select","Unemployed","Interested in other courses","Might be","Select","Select","02.Medium","02.Medium",15,15,"Modified",7,0
659607,"API","Olark Chat","No","No",1,6,1158,1.5,"Email Opened","India","Business Administration","Select","Unemployed","Interested in other courses","Not Sure","Select","Other Cities","02.Medium","02.Medium",15,14,"Email Opened",7,0
659600,"Landing Page Submission","Google","No","No",0,4,101,4,"Email Opened","India","Finance Management","Other","Unemployed","Will revert after reading the email","Not Sure","Select","Mumbai","02.Medium","01.High",15,18,"Email Opened",52,1
659582,"Landing Page Submission","Google","No","No",0,9,838,4.5,"Email Opened","India","Healthcare Management","Word Of Mouth","Unemployed","invalid number","Might be","Other Leads","Mumbai","02.Medium","02.Medium",13,15,"Email Opened",13,0
659567,"Landing Page Submission","Direct Traffic","No","No",0,3,536,3,"Unreachable","India","Finance Management","Select","Unemployed","number not provided","Not Sure","Select","Mumbai","03.Low","01.High",9,18,"Modified",0,0
659562,"Landing Page Submission","Direct Traffic","No","No",0,4,161,2,"Unreachable","India","Marketing Management","Select","Unemployed","Busy","Not Sure","Select","Select","03.Low","01.High",12,17,"Unreachable",47,0
659555,"Landing Page Submission","Google","No","No",0,2,511,2,"Form Submitted on Website","India","Healthcare Management","Student of SomeSchool","Unemployed","Diploma holder (Not Eligible)","Low in Relevance","Select","Mumbai","03.Low","02.Medium",9,15,"Modified",15,0
659523,"API","Google","No","No",1,5,1110,5,"Olark Chat Conversation","India","Human Resource Management","Select","Working Professional","Will revert after reading the email","Might be","Potential Lead","Select","01.High","02.Medium",16,16,"Modified",70,1
659507,"Landing Page Submission","Direct Traffic","No","No",1,5,1563,5,"Email Opened","India","Finance Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,20,"Email Opened",73,1
659492,"API","Referral Sites","No","No",0,7,1633,3.5,"Converted to Lead","India","Select","Select","Unemployed","Ringing","Low in Relevance","Select","Select","02.Medium","02.Medium",14,13,"Modified",6,0
659474,"Landing Page Submission","Google","No","No",0,12,809,4,"Unreachable","India","Finance Management","Online Search","Unemployed","invalid number","Not Sure","Potential Lead","Mumbai","02.Medium","01.High",13,18,"Modified",0,0
659463,"API","Google","No","No",1,5,1196,5,"Page Visited on Website","India","Select","Select","Unemployed","Lost to EINS","Not Sure","Select","Select","02.Medium","02.Medium",15,15,"Modified",61,1
659447,"Landing Page Submission","Organic Search","No","No",0,6,1485,6,"Email Opened","India","Supply Chain Management","Select","Unemployed","Ringing","Low in Relevance","Select","Other Cities","02.Medium","02.Medium",14,16,"Email Opened",14,0
659438,"API","Google","No","No",0,9,125,3,"Page Visited on Website","India","Finance Management","Multiple Sources","Unemployed","Interested in other courses","Worst","Select","Mumbai","02.Medium","02.Medium",14,15,"Modified",0,0
659437,"API","Google","No","No",1,3,165,3,"Olark Chat Conversation","India","Select","Select","Unemployed","invalid number","High in Relevance","Select","Select","02.Medium","02.Medium",15,15,"Modified",6,0
659411,"Landing Page Submission","Google","No","No",0,6,398,3,"Olark Chat Conversation","India","E-COMMERCE","Student of SomeSchool","Unemployed","Will revert after reading the email","Worst","Potential Lead","Mumbai","02.Medium","02.Medium",15,15,"Olark Chat Conversation",49,0
659407,"API","Organic Search","No","No",0,3,570,3,"Converted to Lead","India","Supply Chain Management","Student of SomeSchool","Student","Interested in other courses","High in Relevance","Select","Mumbai","02.Medium","02.Medium",13,15,"Modified",9,0
659395,"Landing Page Submission","Organic Search","No","No",1,6,895,6,"Email Opened","India","Operations Management","Select","Unemployed","Will revert after reading the email","Might be","Dual Specialization Student","Other Cities of Maharashtra","02.Medium","01.High",14,18,"Email Opened",79,1
659371,"Landing Page Submission","Google","No","No",1,4,1190,4,"Email Opened","India","Human Resource Management","Multiple Sources","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",13,18,"Email Opened",60,1
659366,"API","Direct Traffic","No","No",0,5,1566,5,"Converted to Lead","India","Select","Select","Unemployed","Graduation in progress","Might be","Select","Select","03.Low","02.Medium",11,15,"Modified",9,0
659364,"API","Google","No","No",1,5,727,5,"Email Opened","India","Select","Select","Unemployed","Will revert after reading the email","High in Relevance","Dual Specialization Student","Thane & Outskirts","02.Medium","02.Medium",14,15,"Email Opened",85,1
659357,"Landing Page Submission","Google","No","No",0,8,652,4,"Unreachable","India","Hospitality Management","Other","Unemployed","Ringing","High in Relevance","Select","Mumbai","02.Medium","02.Medium",13,15,"Modified",5,0
659345,"API","Organic Search","No","No",0,4,1248,1.33,"Email Opened","India","Media and Advertising","Select","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","02.Medium",13,15,"Email Opened",8,0
659334,"API","Google","No","No",0,2,767,2,"Email Opened","India","Select","Select","Unemployed","Already a student","Worst","Student of SomeSchool","Select","02.Medium","02.Medium",15,14,"Modified",0,0
659293,"API","Referral Sites","No","No",0,10,275,3.33,"Page Visited on Website","India","Select","Select","Unemployed","Interested in other courses","High in Relevance","Select","Select","02.Medium","02.Medium",15,13,"Page Visited on Website",19,0
659287,"API","Organic Search","No","No",0,3,273,3,"Converted to Lead","India","Select","Select","Unemployed","switched off","Might be","Select","Select","02.Medium","02.Medium",14,15,"Modified",1,0
659281,"Landing Page Submission","Google","No","No",0,8,277,4,"Email Opened","India","Finance Management","Online Search","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",14,18,"Email Opened",60,1
659263,"API","Organic Search","No","No",1,3,1207,1.5,"Olark Chat Conversation","India","Select","Select","Unemployed","Will revert after reading the email","Might be","Select","Select","01.High","02.Medium",16,15,"Modified",51,1
659248,"API","Google","No","No",0,2,39,1,"Converted to Lead","India","Finance Management","Student of SomeSchool","Unemployed","Busy","High in Relevance","Select","Mumbai","01.High","02.Medium",16,15,"Modified",42,0
659244,"Landing Page Submission","Google","No","No",0,4,1638,4,"Email Opened","India","Finance Management","Select","Unemployed","Ringing","Not Sure","Select","Mumbai","03.Low","01.High",12,18,"Email Opened",0,0
659241,"API","Referral Sites","No","No",0,16,53,16,"Olark Chat Conversation","India","Finance Management","Select","Unemployed","Interested in other courses","Worst","Select","Select","02.Medium","02.Medium",15,13,"Modified",0,0
659238,"Landing Page Submission","Direct Traffic","No","No",0,1,127,1,"Converted to Lead","India","Finance Management","Select","Unemployed","Already a student","Might be","Select","Mumbai","01.High","01.High",16,18,"Modified",12,0
659221,"Landing Page Submission","Organic Search","Yes","No",0,5,100,5,"Page Visited on Website","India","Supply Chain Management","Select","Unemployed","switched off","Might be","Select","Mumbai","02.Medium","01.High",15,18,"Modified",0,0
659217,"Landing Page Submission","Google","Yes","No",0,4,323,4,"Unsubscribed","India","International Business","Multiple Sources","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",13,18,"Unsubscribed",57,1
659203,"API","Google","No","No",1,2,160,1,"Olark Chat Conversation","India","Select","Select","Unemployed","Ringing","Low in Relevance","Select","Select","01.High","02.Medium",16,15,"Modified",6,0
659182,"API","Google","No","No",0,1,263,1,"Converted to Lead","India","Select","Select","Unemployed","Interested in other courses","Not Sure","Other Leads","Select","02.Medium","02.Medium",14,14,"Modified",4,0
659170,"API","Google","No","No",0,2,1218,2,"Olark Chat Conversation","India","Select","Select","Unemployed","Interested in other courses","Not Sure","Select","Select","03.Low","02.Medium",11,15,"Modified",0,0
659146,"Landing Page Submission","Google","No","No",1,5,1091,5,"Unreachable","India","Finance Management","Online Search","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",13,20,"Unreachable",84,1
659142,"Landing Page Submission","Direct Traffic","No","No",0,4,291,4,"Olark Chat Conversation","India","Supply Chain Management","Select","Working Professional","Will revert after reading the email","Might be","Select","Other Cities","02.Medium","02.Medium",14,16,"Modified",62,1
659138,"API","Google","Yes","No",0,1,1759,1,"Olark Chat Conversation","India","Select","Select","Unemployed","Lost to EINS","Low in Relevance","Select","Select","01.High","02.Medium",16,15,"Olark Chat Conversation",61,1
659132,"Landing Page Submission","Referral Sites","No","No",0,7,41,3.5,"Email Opened","India","Services Excellence","Select","Unemployed","Will revert after reading the email","Not Sure","Student of SomeSchool","Mumbai","02.Medium","02.Medium",14,14,"Email Opened",46,0
659123,"Landing Page Submission","Google","No","No",0,5,386,5,"Email Opened","India","Business Administration","Online Search","Unemployed","Interested in other courses","High in Relevance","Select","Thane & Outskirts","02.Medium","01.High",14,17,"Modified",13,0
659117,"API","Referral Sites","No","No",0,6,216,2,"Page Visited on Website","India","International Business","Multiple Sources","Student","invalid number","Might be","Select","Thane & Outskirts","02.Medium","02.Medium",14,13,"Page Visited on Website",1,0
659106,"Landing Page Submission","Google","No","No",1,5,1603,5,"Email Opened","India","Operations Management","Online Search","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",14,20,"Email Opened",73,1
659094,"Landing Page Submission","google","No","No",0,7,106,3.5,"Page Visited on Website","India","Select","Multiple Sources","Unemployed","wrong number given","High in Relevance","Select","Other Cities","02.Medium","02.Medium",14,13,"Modified",6,0
659079,"API","Google","No","No",0,2,73,2,"Unreachable","India","Select","Select","Unemployed","switched off","Not Sure","Select","Select","03.Low","02.Medium",12,15,"Modified",0,0
659074,"Landing Page Submission","Direct Traffic","No","No",0,3,718,3,"Unreachable","India","Hospitality Management","Select","Unemployed","Closed by Horizzon","Might be","Potential Lead","Thane & Outskirts","02.Medium","02.Medium",13,14,"Modified",70,1
659069,"Landing Page Submission","Google","No","No",0,5,432,1.67,"Olark Chat Conversation","India","Marketing Management","Word Of Mouth","Unemployed","Closed by Horizzon","Not Sure","Potential Lead","Mumbai","02.Medium","01.High",14,18,"Olark Chat Conversation",61,1
659057,"Landing Page Submission","Google","No","No",0,5,232,2.5,"Email Opened","India","Human Resource Management","Online Search","Unemployed","Interested in other courses","Might be","Other Leads","Other Cities","02.Medium","02.Medium",13,16,"Email Opened",20,0
659050,"Landing Page Submission","Direct Traffic","No","No",0,2,702,2,"Email Opened","India","Hospitality Management","Select","Unemployed","Not doing further education","Low in Relevance","Select","Other Cities","02.Medium","02.Medium",14,13,"Email Opened",24,0
659038,"Landing Page Submission","Organic Search","No","No",1,5,614,5,"Unreachable","India","Finance Management","Select","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Thane & Outskirts","02.Medium","01.High",15,19,"Unreachable",85,1
659036,"Landing Page Submission","Direct Traffic","No","No",1,1,1808,1,"Converted to Lead","India","IT Projects Management","Select","Unemployed","Lost to EINS","Might be","Select","Thane & Outskirts","02.Medium","02.Medium",14,14,"Modified",69,1
659016,"Landing Page Submission","Direct Traffic","Yes","No",0,2,234,1,"Email Bounced","India","Finance Management","Select","Unemployed","invalid number","Not Sure","Select","Mumbai","02.Medium","01.High",15,18,"Modified",0,0
659013,"Landing Page Submission","Direct Traffic","No","No",0,3,245,3,"Unreachable","India","Finance Management","Select","Unemployed","Ringing","Might be","Select","Thane & Outskirts","02.Medium","01.High",13,17,"Modified",0,0
658983,"Landing Page Submission","Organic Search","No","No",1,8,1268,4,"Email Opened","India","Operations Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","01.High","01.High",16,18,"Email Opened",60,1
658976,"Landing Page Submission","Google","No","No",0,2,56,2,"Email Bounced","India","Select","Online Search","Unemployed","switched off","Might be","Select","Mumbai","03.Low","02.Medium",12,15,"Modified",1,0
658932,"API","Referral Sites","No","No",0,4,174,2,"Email Link Clicked","India","Select","Select","Unemployed","Interested in other courses","Might be","Select","Select","02.Medium","02.Medium",13,13,"Modified",7,0
658917,"Landing Page Submission","Direct Traffic","No","No",0,4,1149,2,"Email Opened","India","Select","Word Of Mouth","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","01.High",14,18,"Email Opened",8,0
658888,"Landing Page Submission","Direct Traffic","No","No",0,2,333,2,"Email Opened","India","E-COMMERCE","Multiple Sources","Unemployed","Ringing","High in Relevance","Select","Other Cities","02.Medium","02.Medium",14,13,"Email Opened",13,0
658856,"API","Organic Search","No","No",0,7,471,2.33,"Email Opened","India","Select","Select","Unemployed","switched off","Might be","Select","Select","02.Medium","02.Medium",14,15,"Email Opened",9,0
658852,"Landing Page Submission","Direct Traffic","No","No",1,3,1010,3,"Email Opened","India","Supply Chain Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Other Metro Cities","02.Medium","02.Medium",15,16,"Email Opened",60,1
